Level,Description,1987 Feb,1987 May,1987 Aug,1987 Nov,1988 Feb,1988 May,1988 Aug,1988 Nov,1989 Feb,1989 May,1989 Aug,1989 Nov,1990 Feb,1990 May,1990 Aug,1990 Nov,1991 Feb,1991 May,1991 Aug,1991 Nov,1992 Feb,1992 May,1992 Aug,1992 Nov,1993 Feb,1993 May,1993 Aug,1993 Nov,1994 Feb,1994 May,1994 Aug,1994 Nov,1995 Feb,1995 May,1995 Aug,1995 Nov,1996 Feb,1996 May,1996 Aug,1996 Nov,1997 Feb,1997 May,1997 Aug,1997 Nov,1998 Feb,1998 May,1998 Aug,1998 Nov,1999 Feb,1999 May,1999 Aug,1999 Nov,2000 Feb,2000 May,2000 Aug,2000 Nov,2001 Feb,2001 May,2001 Aug,2001 Nov,2002 Feb,2002 May,2002 Aug,2002 Nov,2003 Feb,2003 May,2003 Aug,2003 Nov
1,Aggregated,7022.252753,7103.52345722,7092.25732155,7182.16130099,7247.30434959,7354.83383141,7353.28639161,7508.60691419,7566.48842366,7720.78950734,7715.27301322,7862.35682281,7802.99026223,7908.46367671,7807.98288693,7826.9227232,7708.78059378,7703.71644864,7620.70321137,7614.94176013,7597.17545314,7631.40005447,7613.39910142,7587.44650058,7530.95930863,7620.50678903,7589.40313141,7744.9260545,7738.59791848,7857.90878637,7861.69387468,8003.25337215,8049.87593218,8165.20160055,8165.91871758,8300.26211002,8246.60347799,8297.12543076,8265.86485675,8314.36985229,8291.38755027,8330.1864403,8250.30605267,8462.08472891,8412.99658395,8482.54001845,8455.23346438,8554.29486388,8556.47418166,8606.52012287,8603.62358914,8763.66747674,8754.40422028,8864.99978116,8911.58789058,8912.71947263,8920.93543234,9004.6291143,8971.89539639,9055.64402508,9092.30993647,9134.67308143,9150.2861488,9286.74090441,9372.59938738,9380.07784679,9326.95105172,9427.73963707
2,Clerical and Administrative Workers,930.4074974,935.72942842,929.21594372,927.04291096,979.2071631,996.54668339,973.67769543,1007.35456372,1024.04889672,1034.78248386,1022.83530684,1044.95134117,1051.18402971,1051.01991824,1022.27427407,1022.89956232,1048.4758233,1037.93655363,1026.12689626,992.52626738,1000.4203676,1004.53803286,1013.87273688,981.83170308,1014.26934552,1029.03469455,1018.74766362,1040.55616799,1055.59471456,1067.90021676,1063.26714137,1065.5426131,1083.43550773,1076.76700976,1103.03255807,1086.27218578,1107.8446488,1104.56541681,1100.09249368,1105.78033521,1107.93536493,1100.50694672,1088.94981609,1115.57480032,1131.67659494,1110.96142153,1116.45710511,1094.89432541,1104.42085961,1126.86585589,1134.04141533,1157.09185706,1170.2561086,1203.49179365,1212.37139539,1208.99925283,1226.99345499,1202.96329079,1204.70686078,1191.07761235,1215.77134105,1182.74611419,1182.63128584,1216.35562531,1231.07928667,1231.35391892,1227.06917758,1220.07134796
2,Community and Personal Service Workers,376.14094706,391.94126067,399.05338673,404.99562159,402.47125402,425.43568452,440.95667895,444.38112047,437.85830537,449.4448956,448.36163526,460.08947371,464.6973189,494.64955006,492.37218007,483.88124507,461.31226182,491.12690201,488.55572146,493.65824281,491.85580186,509.40670949,505.94180561,518.29487258,487.60824845,499.22160098,481.0146708,514.85840898,509.76465756,538.88278089,530.43265635,551.3038479,549.12055609,574.5037777,591.06482152,594.84010934,558.03049344,581.1119229,611.20754408,634.67038153,640.51945566,654.86839381,628.34251075,668.48259449,651.83564322,666.42543742,666.4331149,677.67754172,686.1825084,699.41317259,675.7131392,684.60730789,681.16502256,712.13940139,715.54204054,714.58281494,721.67120651,736.21334216,745.88708535,749.4552328,746.99681461,757.7902979,760.55315698,788.01371563,784.47719149,789.0568689,784.21087121,791.88474083
2,Labourers,972.11477233,977.25409439,957.64296984,1001.46450826,1001.33392698,1008.96601842,986.99127574,1058.40847716,1046.49798676,1076.70933582,1055.7557898,1092.84350894,1063.69360065,1089.93301177,1044.55858564,1080.82229348,1042.11464169,1033.10062453,967.21848687,996.58689471,1014.26206898,998.04993236,968.30490826,1004.38098875,974.75133613,989.59060213,980.30473874,1002.74611237,1019.12322233,1031.50194011,996.1261174,1045.0075953,1089.80508211,1060.74494905,1053.78016643,1109.65001224,1063.87171221,1077.58812473,1035.29232166,1049.54984244,1031.03982431,1033.84197919,1041.25036839,1049.9991827,1020.56698889,1045.3658819,1051.81669364,1059.96830529,1051.49269995,1045.0419552,1055.45447639,1065.06995968,1076.1223654,1060.20615486,1071.92233031,1059.4592423,1061.14824738,1050.64661432,1022.60567325,1035.38245616,1063.08198641,1060.44550702,1089.35571515,1086.00055027,1083.98842711,1082.28898619,1072.23827429,1103.31201624
2,Machinery Operators and Drivers,585.87095393,589.29751787,585.19325952,609.63057099,596.00794233,607.27836852,603.11412262,607.82209443,609.10600033,611.49073881,624.46340502,624.26752124,609.69721109,601.55423322,597.39025505,587.36431081,586.69631945,583.06430373,571.87851306,567.95107242,557.36906117,552.34835248,562.02693446,544.28759857,554.35290846,557.21727643,548.74453303,579.7228109,579.62598887,577.48059183,588.63791868,585.50159499,590.83117356,599.24927992,612.54850326,612.80646866,590.36761985,587.51780531,631.06133254,640.1007725,627.77675053,614.149661,607.44954891,624.12436548,610.3677862,608.71806214,619.8059939,649.84124709,626.70899573,623.87635733,609.68439187,621.00462832,616.64031784,633.99036028,613.36465366,607.62510149,605.43377058,622.01010421,627.64675806,616.33931896,626.16607828,622.34246999,619.99822277,632.59661605,635.31066951,632.65696563,626.57417633,613.23985523
2,Managers,861.36182417,883.78271415,889.5517177,886.88890955,902.54780975,918.49463335,920.81471294,933.25107893,935.1892045,930.70000293,928.4878185,963.02153416,975.56412977,977.58729068,968.21682378,979.79150126,966.56727132,961.67744055,939.13283176,970.42127587,934.67276805,942.04121682,958.58508169,951.66864595,958.28078059,969.21096565,980.05984333,1000.24528886,971.90889194,980.77678591,999.9639596,1006.10737143,957.66326178,987.71536848,964.41623557,997.00826896,1015.04254216,997.49020617,976.14840818,967.33598383,973.21852704,977.31007175,960.79780939,978.48382598,950.74931677,979.46173502,979.19618165,989.60760407,992.52693174,990.87635363,1020.4550032,1040.19403845,1043.68673311,1012.35024781,1026.30678558,1056.06975199,1046.20787293,1090.02792562,1100.61084493,1168.27701503,1154.33963395,1133.10120902,1089.92930071,1099.96448421,1119.16930579,1135.76740171,1120.34995808,1152.30006055
2,Professionals,1072.21703079,1103.99758652,1110.05451287,1097.74175396,1109.01825874,1134.56094723,1146.77397437,1149.72647763,1155.25249021,1211.70831137,1207.76402196,1218.68588191,1219.45516174,1247.54541872,1273.88108008,1248.78627813,1248.64276442,1278.83461074,1301.39925083,1263.61392066,1259.34381831,1297.88777275,1316.26646238,1296.30860198,1260.32315167,1266.69023041,1306.82680126,1298.15066228,1291.87285595,1312.05689974,1336.84330417,1340.67956756,1336.07335745,1403.47293955,1414.17326176,1451.86305068,1425.52189196,1442.82594377,1429.78564021,1475.42575172,1435.529111,1472.22530927,1503.37587053,1522.01118116,1511.13325484,1547.91121267,1548.33138562,1589.0216865,1598.38237005,1588.78793333,1581.9960866,1623.61927828,1621.56218058,1684.46555975,1696.89561571,1691.7498765,1711.10163534,1746.43922357,1748.43242279,1729.66493689,1737.84383332,1790.64211387,1820.85563566,1805.20129371,1827.29643588,1815.26871646,1825.61503055,1859.81061459
2,Sales Workers,971.79870458,968.77828979,960.74831646,1000.76690532,984.22056611,973.27143016,970.39415721,988.3749729,1002.69248652,1023.93429156,1061.15995295,1081.02696449,1068.74001548,1085.0301,1059.6089134,1095.60287021,1054.74828271,1032.37084753,1053.90566804,1052.11349365,1059.32704327,1054.55364458,1024.10562545,1053.79660287,1035.93245274,1043.69418509,1010.80962096,1031.63190685,1038.9699775,1090.36332302,1071.78295869,1102.26744137,1124.23333345,1137.96743621,1110.75282199,1138.82654172,1153.09738585,1179.46197571,1163.27774546,1129.41682812,1134.24334116,1137.29250126,1116.85898735,1187.56825133,1185.05476485,1188.46720837,1166.39304262,1187.80827936,1195.37577305,1194.75593832,1180.36616102,1185.40847765,1179.77185695,1179.70066006,1205.96453972,1221.25364958,1220.44505349,1212.62314601,1180.86997161,1211.81215153,1187.72676687,1228.88076427,1244.1143924,1295.19636013,1289.37888629,1290.03139645,1266.48980294,1269.17404467
2,Technicians and Trades Workers,1252.34102274,1252.74256541,1260.79721471,1253.63012036,1272.49742856,1290.28006582,1310.56377435,1319.28812895,1355.84305325,1382.01944739,1366.44508289,1377.47059719,1349.95879489,1361.14415402,1349.68077484,1327.77466192,1300.22322907,1285.60516592,1272.48584309,1278.07059263,1279.9245239,1272.57439313,1264.29554669,1236.8774868,1245.44108507,1265.84723379,1262.89525967,1277.01469627,1271.73760977,1258.94624811,1274.63981842,1306.8433405,1318.71366001,1324.78083988,1316.15034898,1308.99547264,1332.82718372,1326.56403536,1318.99937094,1312.08995694,1341.12517564,1339.9915773,1303.28114126,1315.84052745,1351.61223424,1335.2290594,1306.79994694,1305.47587444,1301.38404313,1336.90255658,1345.91291553,1386.67192941,1365.19963524,1378.65560336,1369.22052967,1352.979783,1327.93419112,1343.70546762,1341.13577962,1353.63530136,1360.38348198,1358.72460517,1342.84843929,1363.4122591,1401.89918464,1403.65359253,1404.40376074,1417.946957
3,Clerical and Administrative Workers-Full time,681.31884493,687.3099105,682.83227724,673.0709528,720.95948893,719.19767778,704.49662114,727.27650848,747.1168787,751.23609286,733.92646947,751.59623196,759.0462666,745.34995069,730.06350549,739.39086181,751.30769862,734.3698779,725.22860323,693.03967433,708.1544249,699.29814293,692.03378744,688.41081095,718.05452943,712.23840465,702.50030821,711.9388501,727.81404064,746.90316961,736.529676,727.41221603,729.402431,723.98227813,757.20787539,735.04244911,753.25420308,743.68788954,739.90655121,739.7980347,741.64463933,721.46247555,715.78472488,751.2062276,747.27121668,715.86327176,721.63467323,712.66551277,733.08554823,733.05220045,741.34395908,747.87657815,760.76575348,786.51220769,793.2875518,806.93689066,813.25970524,771.65538583,752.15938796,750.87975603,771.67443916,723.39062832,745.11172785,754.42648228,769.00809486,754.21480692,772.68802982,768.48246966
