,loss_run_1
0,52716998656.0
1,52713472000.0
2,52704940032.0
3,52699127808.0
4,52697079808.0
5,52679573504.0
6,52676907008.0
7,52686983168.0
8,52647972864.0
9,52631482368.0
10,52650422272.0
11,52643762176.0
12,52616785920.0
13,52622225408.0
14,52594655232.0
15,52525490176.0
16,52589277184.0
17,52561104896.0
18,52439486464.0
19,52457017344.0
20,52445876224.0
21,52477030400.0
22,52234199040.0
23,52397125632.0
24,52254613504.0
25,52200177664.0
26,52295913472.0
27,52252504064.0
28,52329598976.0
29,52021796864.0
30,52149018624.0
31,52421136384.0
32,52303429632.0
33,51991658496.0
34,52173434880.0
35,51921510400.0
36,51877236736.0
37,52113137664.0
38,52011614208.0
39,51790405632.0
40,51707408384.0
41,51779727360.0
42,51475152896.0
43,51619786752.0
44,51804901376.0
45,51623378944.0
46,51908956160.0
47,51560247296.0
48,50926817280.0
49,51573788672.0
50,50986143744.0
51,50965913600.0
52,51285975040.0
53,51464056832.0
54,51120394240.0
55,50566176768.0
56,51080314880.0
57,51046748160.0
58,50589683712.0
59,50878103552.0
60,50438369280.0
61,50522873856.0
62,50135891968.0
63,50843336704.0
64,50796646400.0
65,50345185280.0
66,50834128896.0
67,50177576960.0
68,50688593920.0
69,49645203456.0
70,50385858560.0
71,50542608384.0
72,50060189696.0
73,49472135168.0
74,50555224064.0
75,50261737472.0
76,49865224192.0
77,49702608896.0
78,49389015040.0
79,49518895104.0
80,49741053952.0
81,49674977280.0
82,49774522368.0
83,49318506496.0
84,48021688320.0
85,49424957440.0
86,48646488064.0
87,48634888192.0
88,49121624064.0
89,48543207424.0
90,49962778624.0
91,48724594688.0
