Level,Description,1,2,3,4,5,6,7,8,9,10,11,12
1,Aggregated,11360.1279296875,11672.7919921875,11568.5712890625,11777.013671875,11777.013671875,11881.234375,11777.013671875,11881.234375,11985.4560546875,12089.6767578125,12089.6767578125,12298.1201171875
2,Clerical and Administrative Workers,1378.8614501953125,1378.8614501953125,1378.8614501953125,1391.5115966796875,1391.5115966796875,1391.5115966796875,1391.5115966796875,1404.16162109375,1404.16162109375,1416.811767578125,1416.811767578125,1429.4619140625
2,Community and Personal Service Workers,1097.48388671875,1106.8641357421875,1097.48388671875,1116.2442626953125,1116.2442626953125,1144.385009765625,1135.004638671875,1144.385009765625,1144.385009765625,1153.76513671875,1153.76513671875,1153.76513671875
2,Labourers,1169.630126953125,1180.7694091796875,1180.7694091796875,1191.9088134765625,1191.9088134765625,1203.048095703125,1203.048095703125,1214.1876220703125,1214.1876220703125,1214.1876220703125,1225.326904296875,1236.4661865234375
2,Machinery Operators and Drivers,781.3597412109375,781.3597412109375,774.5056762695312,774.5056762695312,781.3597412109375,774.5056762695312,781.3597412109375,788.2137451171875,781.3597412109375,788.2137451171875,788.2137451171875,788.2137451171875
2,Managers,1461.9649658203125,1475.37744140625,1475.37744140625,1488.7899169921875,1502.202392578125,1502.202392578125,1515.614990234375,1515.614990234375,1515.614990234375,1529.0274658203125,1529.0274658203125,1542.43994140625
2,Professionals,2542.767578125,2586.6083984375,2586.6083984375,2630.44921875,2608.52880859375,2652.36962890625,2630.44921875,2630.44921875,2630.44921875,2630.44921875,2652.36962890625,2674.290283203125
2,Sales Workers,1419.2869873046875,1419.2869873046875,1419.2869873046875,1432.5513916015625,1432.5513916015625,1445.81591796875,1445.81591796875,1459.0802001953125,1459.0802001953125,1472.3446044921875,1472.3446044921875,1485.6090087890625
2,Technicians and Trades Workers,1684.8411865234375,1700.4417724609375,1716.0421142578125,1731.6424560546875,1731.6424560546875,1731.6424560546875,1731.6424560546875,1747.2427978515625,1747.2427978515625,1762.8431396484375,1762.8431396484375,1778.443603515625
3,Clerical and Administrative Workers-Full time,857.380859375,857.380859375,849.442138671875,865.3196411132812,865.3196411132812,857.380859375,857.380859375,865.3196411132812,865.3196411132812,857.380859375,857.380859375,881.1970825195312
3,Clerical and Administrative Workers-Part time,504.1190490722656,504.1190490722656,508.8304443359375,508.8304443359375,508.8304443359375,504.1190490722656,504.1190490722656,508.8304443359375,518.2532958984375,518.2532958984375,518.2532958984375,518.2532958984375
3,Community and Personal Service Workers-Full time,516.6560668945312,512.0839233398438,502.9395446777344,512.0839233398438,521.228271484375,516.6560668945312,512.0839233398438,521.228271484375,521.228271484375,525.8004150390625,516.6560668945312,525.8004150390625
3,Community and Personal Service Workers-Part time,572.1551513671875,596.1953735351562,601.0033569335938,601.0033569335938,596.1953735351562,639.467529296875,634.6595458984375,629.8515014648438,620.2354736328125,653.8916625976562,658.69970703125,663.5076904296875
3,Labourers-Full time,652.7882690429688,652.7882690429688,665.5880737304688,665.5880737304688,671.9879150390625,659.1881713867188,665.5880737304688,671.9879150390625,671.9879150390625,659.1881713867188,671.9879150390625,678.3878173828125
3,Labourers-Part time,502.381591796875,502.381591796875,511.8604736328125,511.8604736328125,511.8604736328125,516.5999755859375,516.5999755859375,516.5999755859375,516.5999755859375,511.8604736328125,511.8604736328125,511.8604736328125
