"Level","Description","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
1,"Aggregated",24271.7040426062,24457.7435910552,24775.1438471471,24463.3885684013,24448.5034397653,24783.3701888746,25114.6005527317,25660.6702913765,26293.5709051199,26199.6577517785,26804.1997272688,26540.1085432156,26543.2883899977,26653.8852339409,26829.6062334733,27592.5680760771,27373.6729123783,27983.1195163407,28813.5027277634,28816.7351858285,28906.7834723861,29329.0047366175,29635.7736283855,28686.0312974066,28412.6950883231,28746.7678392182,28918.1595815332,29101.1788806953,29093.0323285213,29755.7002973594,29396.3097681282,29307.9633393045,30008.6426709893,31002.2937822067,30863.4332920568,31555.9750541952,32906.0249076364,33749.9176757107,34446.4503780541,34836.970890836
2,"ACT",177.826230856115,182.230769230771,187.230769230775,191.230769230775,208.230769230775,194.230769230775,194.230769230775,169.230769230775,183.230769230775,176.230769230775,164.230769230775,170.230769230775,179.230769230775,190.230769230775,182.230769230775,164.230769230775,177.230769230775,164.230769230775,174.230769230775,166.230769230775,180.230769230775,198.230769230775,220.230769230775,218.230769230775,222.230769230775,237.230769230775,242.230769230775,244.230769230775,239.230769230775,269.230769230775,279.230769230775,277.230769230775,276.230769230775,246.230769230775,263.230769230775,315.230769230775,338.230769230775,334.230769230775,338.230769230775,333.230769230775
2,"NSW",9008.9820113302,9047.91018861318,9116.39815990872,8974.28770422535,9021.79172383219,9188.43527660934,9252.3714659447,9325.27177221475,9578.83102455815,9593.20674858666,9670.66788261875,9652.18787858384,9538.66696959763,9684.64392066821,9774.7376709337,10026.4605052585,9963.78487121903,10259.8690846069,10603.1406407382,10340.4119279652,10424.2453896004,10379.0137256527,10414.1783560103,10098.9688959597,10003.7522369799,10068.9958074505,10008.0659496984,9861.213286756,9710.22593276123,9771.59780965393,9591.62645634592,9547.4489388405,9758.90141942963,9964.27318347488,10066.9519580699,10167.7300174538,10451.6254862126,10799.4660276732,11045.9589002271,10903.3094849516
2,"NT",784.233834732036,805.233082477164,837.381944269365,810.6119223315,780.926419463227,831.824545159236,817.581816921769,771.733764820703,838.287792049442,847.434804485605,895.424933560063,882.05493473827,860.437272216991,937.753506671787,901.040128349957,950.045063812728,1007.67506499093,1111.89558364518,1110.5941555787,1060.36129826752,1126.68740364786,1104.19947944305,1106.88571271964,1119.74610347763,1162.51571389784,1192.35883053614,1254.42986902283,1290.74857120902,1307.43973994838,1415.06233793243,1439.97402532603,1428.89805137656,1491.37363692445,1563.05740246966,1524.58428465315,1449.67012952816,1566.83441608403,1541.81467423294,1508.79986784463,1565.52805255477
2,"QLD",5291.63245166294,5351.98857697752,5388.60525038378,5380.32040545411,5330.17713891996,5495.53231289748,5575.73881672832,5594.8481905805,5728.21733830177,5641.0673081108,5738.71397319448,5429.55287288657,5450.80117973184,5437.60551848496,5539.89329263565,5564.53090296507,5586.85133521398,5584.98896107168,5746.94952843047,5554.45991840453,5498.47940206509,5728.2956691381,5714.87469283944,5543.85318404571,5555.19244142281,5459.90993906732,5518.84083618807,5605.53016461613,5671.9774097069,5703.26690698277,5596.97432955094,5649.22612483486,5743.91067968241,6024.65021268722,6078.88282235213,6332.92732818068,6669.85777402289,7031.51175355763,7195.23810888822,7233.8207275087
2,"SA",1551.30592466441,1513.17389630798,1491.04546898845,1519.99887624605,1549.87843944313,1543.33781449509,1593.88321736366,1628.23359712122,1689.38308444564,1755.91690490408,1834.01512604093,1878.99809701193,1896.94897222649,1921.02964792563,1932.59705907688,1975.95539787829,1957.77702464797,1935.80865765784,1967.73124545193,1983.68083738189,1983.1091286627,1944.46993069721,1956.84526694903,1972.69065008746,1977.29101043802,2015.73688359017,2024.6129073159,2059.98325918204,2079.88583754098,2124.05361764077,2168.7501420139,2120.13642017282,2162.90406037653,2210.0253317336,2263.59547468889,2353.26152206676,2430.92833219024,2507.88712882182,2609.84998428276,2634.52466112825
2,"TAS",524.47500074755,539.460001797656,528.471002398992,518.481002540857,505.037139170404,505.681201144902,513.19123059254,539.812238660544,508.401282575111,528.977172769124,544.79534586028,537.058603331688,522.761923865998,538.763285141581,544.470989125071,535.20475632208,489.602968355657,530.819165520184,528.592991662446,530.034602762668,477.12884742543,480.112075397238,484.830356657542,502.924910659861,457.140858719425,480.206890428202,485.855619281165,528.953643929246,487.736926485178,525.185176865308,525.18329100145,500.498704803144,464.297426618835,480.699738581078,473.566850318959,482.091827122868,450.257175129817,486.790404804034,479.119705457077,456.798259811851
2,"VIC",3531.95964466889,3591.04260019016,3677.30055326563,3649.91790844335,3563.62778189268,3624.90616740068,3798.16328221038,3996.74874031236,4012.40450350579,4136.78843471732,4309.96900974495,4161.82819401205,4184.19618144478,4176.06446029995,4284.14612746165,4339.08927701003,4268.48408636173,4270.50525224778,4434.10687304018,4441.84387551612,4403.65340323135,4609.03881521866,4655.72154438055,4614.88325950979,4508.27839905735,4592.41651357175,4710.83199998364,4862.48940005222,4770.34663713499,4913.40395360062,4979.79506199474,4975.63754330869,4989.79628370131,5367.95820838848,5351.52454620026,5589.12506937968,5855.9587204376,6020.83144602988,6152.2524228642,6454.77426146698
2,"WA",3406.64331822744,3482.31742304528,3618.82010191968,3346.84465658719,3453.39586392246,3497.68935461044,3496.17118670527,3631.98452771691,3596.73540988078,3623.89312629233,3821.12136531496,3927.58226009707,3896.43763234886,3705.6922134546,3763.20572073783,3953.22589368828,3976.10912126965,4053.23762977358,4305.5129539726,4777.73346690312,4810.4363034615,4898.98364949832,4838.29391891009,4708.69649573038,4512.46129096557,4714.30738930281,4684.80101436987,4636.48249311785,4850.45879755591,4882.95827198963,5061.13310561615,4907.84536819431,4963.07404688411,5030.45704255464,4993.68803725901,4959.21636452061,4975.8512287689,5111.81466347712,5276.24033661518,5305.15347011379
3,"ACT-Female",6.99300000461501,7.3874227645924,8.61697879248111,7.4745584537207,9.4867493339688,11.0284761298511,12.7609632827852,12.8650313062316,12.4880648354454,10.9686498833449,9.67556939034141,10.2524614243259,11.0136475364407,14.4922950169536,14.7134379276834,13.5315354568032,13.7355863296778,13.4151842145543,15.4122097656642,14.7970882174296,14.0143237069636,13.5725108944458,15.9365828474636,15.093058133672,13.7458031064258,14.292098389928,14.1648679896983,13.6574820346421,10.7576574104883,10.4276417072278,10.6769459731023,12.124381181256,13.3769253438813,12.7771727651989,12.4386566850925,13.1187368967652,14.8093133430875,14.4567976699352,16.8712712696755,17.3629159108706
