Level,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,Aggregated,26123.947265625,26822.26171875,26818.84375,26765.240234375,26746.146484375,27195.5078125,27615.75390625,27840.953125,27803.982421875,28718.634765625,28986.83203125,29120.337890625,28895.408203125,29766.4921875,29819.134765625,29820.31640625
2,ACT,170.9666290283203,162.7476806640625,166.4074249267578,174.0846405029297,186.05599975585938,177.46925354003906,163.9798583984375,176.70643615722656,167.5488739013672,172.228515625,180.64134216308594,198.01211547851562,199.62802124023438,199.7408447265625,198.76504516601562,198.91038513183594
2,NSW,9432.3857421875,9567.5380859375,9511.2607421875,9475.2275390625,9503.927734375,9645.56640625,9795.21875,9803.1689453125,10018.8779296875,10261.4423828125,10254.94921875,10099.0517578125,10188.2412109375,10287.826171875,10201.376953125,10000.8486328125
2,NT,830.8473510742188,892.6746215820312,855.1652221679688,832.2957763671875,871.4966430664062,888.7006225585938,924.4312744140625,950.1644897460938,1056.1959228515625,1061.5224609375,1035.2264404296875,1077.1761474609375,1133.769287109375,1145.6610107421875,1108.082275390625,1153.0992431640625
2,QLD,5611.10546875,5691.18896484375,5493.81494140625,5470.8818359375,5417.92724609375,5598.4853515625,5577.00390625,5597.21630859375,5608.8212890625,5814.14453125,5696.0732421875,5648.90478515625,5631.48291015625,5815.12744140625,5680.70068359375,5638.65478515625
2,SA,1714.4808349609375,1794.375244140625,1812.9473876953125,1843.7998046875,1879.6435546875,1939.0709228515625,1967.264404296875,1968.0640869140625,1942.6748046875,2008.30224609375,2018.2745361328125,2009.5694580078125,1964.3118896484375,2017.545654296875,2016.03125,2002.8316650390625
2,TAS,512.6129150390625,537.9985961914062,542.9876098632812,580.7561645507812,525.2951049804688,543.0158081054688,522.3597412109375,543.3545532226562,509.51971435546875,517.9973754882812,506.46563720703125,503.4590759277344,453.4798583984375,477.5467529296875,492.0104675292969,496.75396728515625
2,VIC,4016.22119140625,4119.59423828125,4150.9404296875,4220.1513671875,4082.426513671875,4155.72509765625,4245.712890625,4317.8818359375,4221.9306640625,4322.71435546875,4404.81689453125,4507.677734375,4403.40673828125,4529.5361328125,4611.87939453125,4690.47509765625
2,WA,3517.410888671875,3624.72607421875,3738.33349609375,3776.05810546875,3591.884521484375,3581.071044921875,3671.879638671875,3827.312255859375,3995.69921875,4227.94140625,4497.990234375,4769.7265625,4793.5146484375,4780.546875,4707.31591796875,4588.06787109375
3,ACT-Female,8.865657806396484,8.130406379699707,11.19291877746582,12.259416580200195,17.067861557006836,14.2438325881958,11.154115676879883,13.13991928100586,15.667078018188477,16.261159896850586,14.253076553344727,12.364408493041992,14.26203727722168,13.614347457885742,12.915952682495117,12.40661334991455
3,ACT-Male,160.65673828125,151.9987335205078,153.45608520507812,158.59361267089844,159.4769744873047,151.57052612304688,140.062744140625,135.67178344726562,151.86354064941406,166.93927001953125,169.51095581054688,179.18067932128906,192.05650329589844,204.95745849609375,204.77272033691406,203.47628784179688
3,NSW-Female,676.0380859375,693.4942626953125,683.0687866210938,658.870361328125,636.4129638671875,686.5553588867188,713.7413330078125,718.4194946289062,726.7650756835938,770.2737426757812,768.4796142578125,747.71923828125,741.06494140625,774.0371704101562,760.0899658203125,726.1124877929688
3,NSW-Male,8777.5615234375,8907.119140625,8856.328125,8832.419921875,8866.4345703125,8999.0068359375,9114.1806640625,9132.978515625,9331.1171875,9514.2373046875,9504.87890625,9381.92578125,9456.115234375,9598.748046875,9476.1865234375,9293.6787109375
