"Level","Description","1","2","3","4","5","6","7","8","9","10","11","12"
1,"Aggregated",42613.350483259,16750.2721742392,19035.8255151301,23545.9344445979,17671.2366304314,17711.824562139,22198.0203939517,20062.1306660516,21909.2592701578,24710.030703,19275.4183339183,19771.9149964376
2,"NSW",14498.7015887256,5431.95564830478,6098.084782067,8023.24032235337,5436.12253095582,5185.44795511459,6554.17568536829,5535.36794310891,6080.21123269808,7701.10610893074,5733.40270081214,6549.36814591489
2,"NT",316.636374563336,266.093572120362,296.790767465016,431.716173691722,545.850115796273,644.035256054156,978.339568711374,1043.70819351244,699.233207028935,802.426974154347,486.605799521153,271.390697403284
2,"QLD",9713.72837249497,4163.01343613519,4376.13085349096,5593.76241973821,4820.23862440864,5085.70060727743,6645.5979169324,6853.27000672515,7816.06582967078,7178.20316569898,5365.8930704721,5213.42000501687
2,"SA",3079.00008651523,1292.22405218234,1479.19495008004,1832.78065707049,1380.23356984931,1209.31932999364,1593.28757758222,1168.86986890219,1394.31572752173,1796.71405034999,1415.15926423792,1400.60521569389
2,"TAS",1540.25651366889,873.730293435821,946.654933008737,875.312150246086,563.622305183475,538.971317494061,544.880076186546,365.804610075896,451.313285098207,623.00995940931,626.3946549571,670.432453638961
2,"VIC",9868.49716109772,3615.11501254426,4319.42544808233,4746.2598597569,3554.54461028382,3421.83959190085,3772.34298400756,3303.4023648073,3421.20201477556,4030.99500245273,3971.62042152398,4000.87102279748
2,"WA",3082.49067472069,1266.76299487753,1574.80174652425,2109.90539405189,1413.39573617161,1644.06025489429,2092.83529538619,1878.75991197093,2137.86264836196,2567.47646175503,1634.89250677001,1610.8801207823
3,"NSW-Blue Mountains",168.978041123679,93.0353615597894,107.125140785996,149.971479925391,105.274020442883,135.747585409447,149.691679555316,103.448852058551,107.250322445992,150.025157870706,101.441144661605,89.8437128395019
3,"NSW-Canberra",593.409298151852,350.974056880737,423.747415326204,473.703925242131,412.807889370313,355.178187767516,486.891372987239,335.571044275953,394.701953508315,511.973182164961,372.747646506189,425.912995931245
3,"NSW-Capital Country",218.957077296139,129.984335171728,178.58050448472,280.07999976625,189.085519739056,148.427481809886,155.308599697872,139.356101583631,170.865828584328,222.89566633031,223.748979458474,169.937387942074
3,"NSW-Central Coast",854.054344695604,318.551189286385,220.730902750855,398.683394855128,192.938349742453,229.199814553739,248.345772213232,209.792132507629,202.16099470655,293.926077670859,247.617497583926,368.569007485865
3,"NSW-Central NSW",582.015142191154,246.669000011437,367.485155373378,440.27340754511,333.24123627638,328.257344733906,411.812337806295,308.673450285868,382.067935547952,532.055214079257,414.969296430276,352.12049432511
3,"NSW-Hunter",1285.06305518496,534.088488321103,617.951647099747,846.898007858577,551.020134237371,496.524882519626,588.691010943731,520.328172484509,557.817903146186,683.176154903397,563.783325453862,639.737158756701
3,"NSW-New England North West",569.49986305166,267.963249148491,382.442532156811,353.038482425035,289.314513270619,311.35519952002,328.474316347427,329.661597477867,307.568546028167,395.015912008603,263.930811826031,249.709668415045
3,"NSW-North Coast NSW",3457.18471831831,1186.0616373317,1227.34203721961,1611.8350631924,961.870037341719,969.082622402868,1213.69652720072,1050.28736152623,1185.27719148444,1601.05255291825,1171.34503567722,1260.70316864936
3,"NSW-Outback NSW",84.2130066068041,68.3284555209842,57.2048168461938,132.052881059955,123.928694626114,97.5548870611699,148.086473233469,104.953027191795,152.828330377873,144.439030876974,67.330842844537,248.132497884741
3,"NSW-Riverina",233.386855140688,95.1540672565083,169.749039352422,269.396381680617,163.322767890597,152.570298876207,147.556625902337,125.69845393198,153.975646675414,217.561413372318,132.452967568793,175.512846677148
3,"NSW-Snowy Mountains",254.582493860377,88.1878262650373,111.005365248299,124.733431124134,74.6154577779906,99.7008629387967,415.117879542386,445.939836057508,297.530892331977,157.287064204475,82.4682827994405,112.211889859151
