Level,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,Aggregated,25880.318359375,26583.693359375,26502.65234375,26580.986328125,26422.396484375,26807.001953125,27212.19921875,27487.439453125,27722.625,28476.041015625,28749.537109375,28911.224609375,29002.94921875,29474.919921875,29347.068359375,29176.814453125,29143.626953125,29526.39453125,29570.029296875,29402.70703125,29451.49609375,30072.294921875,29867.1796875,29839.498046875,29686.515625,30179.828125,30167.6953125,30168.162109375,30240.638671875,30572.333984375,30557.431640625,30393.697265625
2,ACT,167.81289672851562,163.870849609375,165.02178955078125,172.90750122070312,173.07827758789062,170.26361083984375,165.76004028320312,161.33392333984375,165.13900756835938,167.3470916748047,170.21670532226562,181.9076690673828,189.34161376953125,202.0116424560547,210.06907653808594,221.78952026367188,216.67010498046875,222.59555053710938,230.6437225341797,237.1826171875,240.97242736816406,249.52088928222656,258.2269592285156,267.24945068359375,269.8385925292969,277.5753173828125,280.4190368652344,288.0255126953125,290.9747009277344,308.5658874511719,318.9030456542969,333.890869140625
2,NSW,9421.986328125,9622.4228515625,9593.1005859375,9525.1513671875,9373.6376953125,9481.5791015625,9626.6455078125,9713.3837890625,9952.1650390625,9991.2529296875,9930.7138671875,9889.353515625,9885.0263671875,9897.556640625,9797.5234375,9736.51171875,10128.1396484375,10249.857421875,10180.67578125,10196.4345703125,10178.2763671875,10311.2841796875,10227.3369140625,10306.1943359375,9661.8037109375,9793.7392578125,9743.8212890625,9775.4169921875,9852.505859375,10061.4130859375,10106.1005859375,10122.0576171875
2,NT,819.612548828125,847.5460815429688,861.8132934570312,888.1273803710938,907.8836669921875,903.8143920898438,920.2949829101562,914.8068237304688,969.3391723632812,1003.3646240234375,1017.7910766601562,1037.669189453125,1017.5697631835938,1037.6552734375,1028.5924072265625,1016.2833862304688,1154.86572265625,1192.8609619140625,1217.66845703125,1241.7216796875,1271.865234375,1315.4259033203125,1352.9862060546875,1374.5794677734375,1480.3143310546875,1537.5457763671875,1571.79638671875,1603.8170166015625,1659.7789306640625,1730.1219482421875,1759.0394287109375,1792.3585205078125
2,QLD,5644.6025390625,5782.2802734375,5814.2578125,5798.13330078125,5695.671875,5807.5517578125,5897.1005859375,5976.89990234375,5617.54150390625,5730.55810546875,5701.62353515625,5688.576171875,5703.7490234375,5775.6162109375,5727.13525390625,5780.39990234375,5570.14453125,5672.7626953125,5640.0,5635.11865234375,5709.05908203125,5820.24462890625,5814.08544921875,5864.64111328125,5739.57958984375,5847.49560546875,5869.177734375,5943.3671875,6035.3857421875,6157.0009765625,6246.41162109375,6362.79736328125
2,SA,1666.0296630859375,1731.6507568359375,1755.7532958984375,1785.4803466796875,1790.696044921875,1833.6033935546875,1854.88525390625,1874.8482666015625,1959.6107177734375,2023.0594482421875,2027.5357666015625,2046.5892333984375,2061.6162109375,2116.087158203125,2126.01171875,2129.569091796875,1992.280517578125,2047.23828125,2051.115966796875,2067.864013671875,2095.5126953125,2151.20751953125,2188.802734375,2229.71923828125,2190.83447265625,2254.768798828125,2282.7197265625,2320.113037109375,2375.81787109375,2463.722412109375,2506.8310546875,2570.517333984375
2,TAS,540.3460083007812,549.4120483398438,551.8075561523438,569.3475952148438,575.770751953125,564.0966186523438,559.329345703125,554.6484985351562,511.3697814941406,515.4700317382812,505.2832946777344,501.0974426269531,482.724609375,486.0838623046875,478.8094482421875,474.82861328125,470.4007263183594,476.4472351074219,469.4695739746094,468.3443298339844,449.1331787109375,455.6911926269531,451.251220703125,455.5038757324219,492.0893859863281,491.2480163574219,489.3101501464844,495.2653503417969,483.2250061035156,490.5367431640625,489.46441650390625,486.2528381347656
2,VIC,3992.75634765625,4095.10986328125,4119.5966796875,4112.26611328125,4078.44287109375,4090.65234375,4184.94287109375,4184.4501953125,4399.44677734375,4492.0654296875,4494.24072265625,4512.47509765625,4557.2587890625,4609.54736328125,4605.7919921875,4630.54736328125,4618.54248046875,4693.0048828125,4689.02001953125,4696.28173828125,4783.05908203125,4889.14794921875,4896.8515625,4964.9462890625,5076.0703125,5167.1572265625,5236.80126953125,5309.57861328125,5393.47021484375,5572.94384765625,5650.3017578125,5712.810546875
2,WA,3616.76904296875,3739.14306640625,3764.068603515625,3806.777587890625,3770.66943359375,3811.408203125,3880.448974609375,3924.515869140625,3940.73828125,4010.33837890625,4019.166015625,4045.74169921875,4064.24365234375,4178.04736328125,4158.78369140625,4173.2900390625,4669.404296875,4779.07568359375,4771.9501953125,4821.26806640625,4899.43212890625,5037.37939453125,5033.951171875,5133.0224609375,4983.021484375,5097.88525390625,5099.85400390625,5174.07958984375,5276.96240234375,5375.15869140625,5468.8154296875,5572.9130859375
3,ACT-Female,12.59522533416748,13.344367027282715,12.630860328674316,12.859769821166992,13.3316011428833,13.358341217041016,13.022370338439941,12.314148902893066,13.609745979309082,13.357916831970215,11.93142032623291,10.993268013000488,11.759222030639648,12.674407958984375,12.523818016052246,12.024795532226562,13.765544891357422,14.045398712158203,14.195123672485352,14.632651329040527,15.821968078613281,16.173294067382812,15.800004959106445,15.727375030517578,13.908905029296875,13.633578300476074,12.89806079864502,12.119444847106934,12.06823444366455,12.040847778320312,11.717284202575684,11.94365406036377
3,ACT-Male,168.15692138671875,172.15736389160156,170.07672119140625,177.9986114501953,178.4876251220703,184.55020141601562,189.6412353515625,195.9291229248047,156.92385864257812,161.22857666015625,159.8779754638672,160.822509765625,163.72817993164062,164.23068237304688,169.2334442138672,169.86505126953125,206.37716674804688,216.12289428710938,213.58766174316406,220.3731689453125,225.96339416503906,238.0452423095703,245.943603515625,247.43106079101562,263.9626159667969,275.9776306152344,279.8272399902344,288.022705078125,294.4969482421875,309.72100830078125,319.8741149902344,332.820068359375
3,NSW-Female,694.4253540039062,719.70068359375,716.0025634765625,715.6837158203125,705.9299926757812,711.4508666992188,725.7756958007812,737.7539672851562,729.9990844726562,748.8441162109375,739.8527221679688,735.7742309570312,721.604248046875,725.3261108398438,700.650146484375,699.8717651367188,738.863525390625,752.03564453125,747.2326049804688,744.9342041015625,733.3094482421875,752.0841674804688,743.1758422851562,744.2850341796875,643.0968627929688,642.7566528320312,631.1124267578125,620.4571533203125,608.0344848632812,616.5690307617188,603.3682250976562,597.155517578125
3,NSW-Male,8666.603515625,8844.205078125,8688.0654296875,8676.546875,8539.01171875,8630.224609375,8703.0283203125,8648.890625,9128.3046875,9169.677734375,9029.2001953125,8912.4716796875,8825.0380859375,8842.6064453125,8698.8642578125,8587.55859375,9285.7783203125,9354.130859375,9206.7763671875,9081.7392578125,9041.1044921875,9074.115234375,8868.177734375,8800.5947265625,8930.771484375,9024.708984375,8860.96484375,8822.3974609375,8819.8955078125,8928.71484375,8727.4052734375,8711.83203125
3,NT-Female,30.320438385009766,33.40400695800781,34.272979736328125,35.08491897583008,36.0816535949707,35.850650787353516,36.306556701660156,36.62480545043945,47.663761138916016,50.11824417114258,52.22909164428711,52.56666564941406,53.922916412353516,53.56063461303711,55.83171844482422,55.85257339477539,48.49537658691406,52.60976028442383,55.017154693603516,54.796504974365234,55.411376953125,58.930606842041016,62.210662841796875,64.79662322998047,93.12529754638672,98.81776428222656,105.1705322265625,107.08123016357422,108.55713653564453,113.93495178222656,115.3696517944336,118.24658966064453
3,NT-Male,786.40087890625,818.5348510742188,808.0859985351562,811.0842895507812,806.390380859375,827.9283447265625,838.3450317382812,845.0831909179688,928.379150390625,950.9369506835938,927.4845581054688,929.8040771484375,927.003662109375,941.53271484375,929.49755859375,933.3304443359375,1100.9757080078125,1131.04150390625,1135.9595947265625,1159.0230712890625,1178.069580078125,1208.2110595703125,1198.2069091796875,1220.3873291015625,1373.2088623046875,1404.690185546875,1415.2381591796875,1443.1337890625,1475.7628173828125,1524.92333984375,1545.1092529296875,1587.5760498046875
3,QLD-Female,410.6620788574219,421.6737365722656,415.7918701171875,415.37744140625,404.8180847167969,405.3248291015625,412.9580993652344,424.1438903808594,443.3628234863281,451.778076171875,448.8555908203125,445.65557861328125,454.1749572753906,459.75042724609375,450.756591796875,459.02410888671875,407.2976379394531,412.80975341796875,410.2021179199219,407.77764892578125,407.4272766113281,409.7807922363281,404.85919189453125,407.1274719238281,471.45703125,487.6922607421875,495.2458190917969,499.5202941894531,503.8504943847656,514.4230346679688,523.297607421875,527.0006103515625
3,QLD-Male,5191.94873046875,5340.275390625,5251.6787109375,5309.6669921875,5210.27978515625,5292.3154296875,5360.82763671875,5360.63037109375,5143.61669921875,5227.2646484375,5143.322265625,5071.60986328125,5002.24267578125,5021.13671875,4921.552734375,4855.607421875,5118.064453125,5165.64990234375,5089.47314453125,5060.91650390625,5036.21142578125,5093.48291015625,5027.24658203125,5050.1708984375,5222.4228515625,5271.81640625,5187.21142578125,5234.75048828125,5249.890625,5330.748046875,5327.73486328125,5377.205078125
