Level,Description,cluster
1,Aggregated,12
2,ACT,4
2,NSW,15
2,NT,7
2,QLD,18
2,SA,12
2,TAS,5
2,VIC,2
2,WA,17
3,ACT-Female,0
3,ACT-Male,11
3,NSW-Female,10
3,NSW-Male,15
3,NT-Female,4
3,NT-Male,7
3,QLD-Female,18
3,QLD-Male,18
3,SA-Female,14
3,SA-Male,12
3,TAS-Female,1
3,TAS-Male,5
3,VIC-Female,2
3,VIC-Male,2
3,WA-Female,2
3,WA-Male,17
4,ACT-Female-Remanded,8
4,ACT-Female-Sentenced,6
4,ACT-Male-Remanded,0
4,ACT-Male-Sentenced,11
4,NSW-Female-Remanded,0
4,NSW-Female-Sentenced,1
4,NSW-Male-Remanded,15
4,NSW-Male-Sentenced,10
4,NT-Female-Remanded,4
4,NT-Female-Sentenced,12
4,NT-Male-Remanded,7
4,NT-Male-Sentenced,7
4,QLD-Female-Remanded,13
4,QLD-Female-Sentenced,18
4,QLD-Male-Remanded,13
4,QLD-Male-Sentenced,18
4,SA-Female-Remanded,0
4,SA-Female-Sentenced,12
4,SA-Male-Remanded,14
4,SA-Male-Sentenced,2
4,TAS-Female-Remanded,3
4,TAS-Female-Sentenced,16
4,TAS-Male-Remanded,5
4,TAS-Male-Sentenced,5
4,VIC-Female-Remanded,11
4,VIC-Female-Sentenced,12
4,VIC-Male-Remanded,12
4,VIC-Male-Sentenced,2
4,WA-Female-Remanded,4
4,WA-Female-Sentenced,17
4,WA-Male-Remanded,7
4,WA-Male-Sentenced,17
5,ACT-Female-Remanded-ATSI,8
5,ACT-Female-Remanded-Non-ATSI,8
5,ACT-Female-Sentenced-ATSI,6
5,ACT-Female-Sentenced-Non-ATSI,9
5,ACT-Male-Remanded-ATSI,15
5,ACT-Male-Remanded-Non-ATSI,0
5,ACT-Male-Sentenced-ATSI,11
5,ACT-Male-Sentenced-Non-ATSI,11
5,NSW-Female-Remanded-ATSI,4
5,NSW-Female-Remanded-Non-ATSI,8
5,NSW-Female-Sentenced-ATSI,10
5,NSW-Female-Sentenced-Non-ATSI,1
5,NSW-Male-Remanded-ATSI,15
5,NSW-Male-Remanded-Non-ATSI,15
5,NSW-Male-Sentenced-ATSI,17
5,NSW-Male-Sentenced-Non-ATSI,10
5,NT-Female-Remanded-ATSI,4
5,NT-Female-Remanded-Non-ATSI,9
5,NT-Female-Sentenced-ATSI,12
5,NT-Female-Sentenced-Non-ATSI,0
5,NT-Male-Remanded-ATSI,7
5,NT-Male-Remanded-Non-ATSI,14
5,NT-Male-Sentenced-ATSI,7
5,NT-Male-Sentenced-Non-ATSI,15
5,QLD-Female-Remanded-ATSI,14
5,QLD-Female-Remanded-Non-ATSI,13
5,QLD-Female-Sentenced-ATSI,4
5,QLD-Female-Sentenced-Non-ATSI,11
5,QLD-Male-Remanded-ATSI,14
5,QLD-Male-Remanded-Non-ATSI,13
5,QLD-Male-Sentenced-ATSI,18
5,QLD-Male-Sentenced-Non-ATSI,19
5,SA-Female-Remanded-ATSI,0
5,SA-Female-Remanded-Non-ATSI,0
5,SA-Female-Sentenced-ATSI,11
5,SA-Female-Sentenced-Non-ATSI,6
5,SA-Male-Remanded-ATSI,15
5,SA-Male-Remanded-Non-ATSI,14
5,SA-Male-Sentenced-ATSI,17
5,SA-Male-Sentenced-Non-ATSI,2
5,TAS-Female-Remanded-ATSI,3
5,TAS-Female-Remanded-Non-ATSI,3
5,TAS-Female-Sentenced-ATSI,16
5,TAS-Female-Sentenced-Non-ATSI,16
5,TAS-Male-Remanded-ATSI,9
5,TAS-Male-Remanded-Non-ATSI,5
5,TAS-Male-Sentenced-ATSI,16
5,TAS-Male-Sentenced-Non-ATSI,5
5,VIC-Female-Remanded-ATSI,11
5,VIC-Female-Remanded-Non-ATSI,11
5,VIC-Female-Sentenced-ATSI,4
5,VIC-Female-Sentenced-Non-ATSI,12
5,VIC-Male-Remanded-ATSI,4
5,VIC-Male-Remanded-Non-ATSI,2
5,VIC-Male-Sentenced-ATSI,11
5,VIC-Male-Sentenced-Non-ATSI,2
5,WA-Female-Remanded-ATSI,4
5,WA-Female-Remanded-Non-ATSI,6
5,WA-Female-Sentenced-ATSI,6
5,WA-Female-Sentenced-Non-ATSI,17
5,WA-Male-Remanded-ATSI,7
5,WA-Male-Remanded-Non-ATSI,12
5,WA-Male-Sentenced-ATSI,17
5,WA-Male-Sentenced-Non-ATSI,17
