"frequency","nperiods","seasonal_period","trend","spike","linearity","curvature","e_acf1","e_acf10","seasonal_strength","peak","trough","entropy","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","seas_acf1"
"1",12,1,12,0.778171091236376,3.09407342159897e-08,2.90397954486113,3.46495772111246,-0.226135232577044,0.199026001528097,0.967892912697456,1,2,0.386876152804206,-0.173708987755226,0.467601063702638,-0.52230824881278,0.941424389852823,-0.608086567550884,0.957968498421864,0.899300346021826
"2",12,1,12,0.639458430435135,3.58235792650196e-08,0.898091805874407,3.29021750393642,-0.214697085105808,0.136695223887815,0.964650970399348,1,2,0.459271920083812,-0.134373308845409,0.467649933709553,-0.493238778600935,0.990012553962844,-0.589456607206731,1.03970512144794,0.899706056146194
"3",12,1,12,0.275878756118455,1.47931056995862e-06,2.15223567595178,1.40171300080613,-0.0664582637875293,0.0660162204454222,0.800806408312579,7,2,0.493971056353334,0.630228983652315,1.69611962067456,-0.130185577797301,0.192370831510398,-0.596933638267055,0.403456157646856,0.695798784763964
"4",12,1,12,0.480023976267099,6.58520579100222e-07,2.76552731714974,2.27230827975699,-0.177710797495863,0.153002273267463,0.896135941739386,1,2,0.467823653826198,0.0403688293815785,0.29708066732654,-0.434699712519483,0.804314261060917,-0.560518343902241,0.937418130275244,0.795238332320065
"5",12,1,12,0.324652528628769,2.41028359050071e-07,1.00226284731306,2.2442827083874,-0.0875360857344901,0.10521023687668,0.908389660577086,1,2,0.402287400784296,-0.199641196699207,0.613881081024193,-0.529178218406441,1.08439404881791,-0.614583877808491,1.08156984549889,0.840560645590406
"6",12,1,12,0.353291445187985,4.59185571995854e-07,2.21120636170395,1.36770724735947,-0.0268966145567677,0.14443902760527,0.898069134038805,1,8,0.432920408459737,0.296699257822182,0.87043038327521,-0.459538680555251,0.348514705896287,-0.678838965368707,0.576646633164976,0.821219346968203
"7",12,1,12,0.726201775238119,4.0445802176404e-08,3.2290610587472,3.06786880217993,-0.0834555920360907,0.152679959444964,0.962590759339629,1,8,0.437046562405996,-0.0205452128503738,0.196183849405094,-0.53577778127874,0.525681424035803,-0.662086731126694,0.646286239281599,0.901480585313052
"8",12,1,12,0.769594873096556,4.95563599315659e-07,6.91070359933969,5.0169492572367,-0.0924480906309223,0.0665926026647399,0.785212586731734,1,2,0.622230879609247,0.222945254686512,1.40938561702217,-0.531242207539412,1.15445274487721,-0.608908888761342,1.14262055977257,0.750897430855395
"9",12,1,12,0.413612722501609,4.15721601069376e-06,3.40781173282395,6.49389092321842,-0.0610493021664246,0.0675251532643022,0.489036419742391,4,3,0.829766312594336,0.123788015362728,0.547816332132546,-0.474591337318381,1.04640715220273,-0.578135131512663,1.14157506207374,0.441811433182392
"10",12,1,12,0.342142356986244,4.89762091822595e-06,3.58011094844012,4.31512420826659,-0.113512679546415,0.0914397696845469,0.43735992581225,1,8,0.935801743914506,0.0510950109525851,0.456361711384328,-0.490110450254555,0.973702121124647,-0.590082092068677,1.03606829146832,0.319117980830739
