Level,Description,1987 Feb,1987 May,1987 Aug,1987 Nov,1988 Feb,1988 May,1988 Aug,1988 Nov,1989 Feb,1989 May,1989 Aug,1989 Nov,1990 Feb,1990 May,1990 Aug,1990 Nov,1991 Feb,1991 May,1991 Aug,1991 Nov,1992 Feb,1992 May,1992 Aug,1992 Nov,1993 Feb,1993 May,1993 Aug,1993 Nov,1994 Feb,1994 May,1994 Aug,1994 Nov,1995 Feb,1995 May,1995 Aug,1995 Nov,1996 Feb,1996 May,1996 Aug,1996 Nov,1997 Feb,1997 May,1997 Aug,1997 Nov,1998 Feb,1998 May,1998 Aug,1998 Nov,1999 Feb,1999 May,1999 Aug,1999 Nov,2000 Feb,2000 May,2000 Aug,2000 Nov,2001 Feb,2001 May,2001 Aug,2001 Nov,2002 Feb,2002 May,2002 Aug,2002 Nov,2003 Feb,2003 May,2003 Aug,2003 Nov,2004 Feb,2004 May,2004 Aug,2004 Nov,2005 Feb,2005 May,2005 Aug,2005 Nov,2006 Feb,2006 May,2006 Aug,2006 Nov,2007 Feb,2007 May,2007 Aug,2007 Nov,2008 Feb,2008 May,2008 Aug,2008 Nov,2009 Feb,2009 May,2009 Aug,2009 Nov,2010 Feb,2010 May,2010 Aug,2010 Nov,2011 Feb,2011 May,2011 Aug,2011 Nov,2012 Feb,2012 May,2012 Aug,2012 Nov,2013 Feb,2013 May,2013 Aug,2013 Nov,2014 Feb,2014 May,2014 Aug,2014 Nov,2015 Feb,2015 May,2015 Aug,2015 Nov
1,Aggregated,7022.252753,7103.52345722,7092.25732155,7182.16130099,7247.30434959,7354.83383141,7353.28639161,7508.60691419,7566.48842366,7720.78950734,7715.27301322,7862.35682281,7802.99026223,7908.46367671,7807.98288693,7826.9227232,7708.78059378,7703.71644864,7620.70321137,7614.94176013,7597.17545314,7631.40005447,7613.39910142,7587.44650058,7530.95930863,7620.50678903,7589.40313141,7744.9260545,7738.59791848,7857.90878637,7861.69387468,8003.25337215,8049.87593218,8165.20160055,8165.91871758,8300.26211002,8246.60347799,8297.12543076,8265.86485675,8314.36985229,8291.38755027,8330.1864403,8250.30605267,8462.08472891,8412.99658395,8482.54001845,8455.23346438,8554.29486388,8556.47418166,8606.52012287,8603.62358914,8763.66747674,8754.40422028,8864.99978116,8911.58789058,8912.71947263,8920.93543234,9004.6291143,8971.89539639,9055.64402508,9092.30993647,9134.67308143,9150.2861488,9286.74090441,9372.59938738,9380.07784679,9326.95105172,9427.73963707,9434.45380518,9533.47332414,9462.08655303,9652.92270248,9744.61459613,9850.75507624,9870.33551122,9944.99816762,9961.13739155,10082.05587464,10105.77322898,10201.64504715,10276.98333911,10412.00734364,10406.39754145,10535.10004802,10622.90664474,10690.30635647,10710.44113774,10757.34463623,10776.7288097,10786.79871402,10707.25728739,10829.23152957,10889.15449354,10957.42660888,10973.82293312,11144.54523901,11146.17609548,11196.18106695,11127.21548878,11239.41845201,11237.73591292,11393.15297786,11264.11685532,11378.33358948,11425.31185843,11491.66476636,11361.40978733,11445.90004443,11464.56443414,11553.34876312,11572.76353155,11581.72570406,11724.13231701,11781.44093137,11702.6312549,11935.26631985
2,Clerical and Administrative Workers,930.4074974,935.72942842,929.21594372,927.04291096,979.2071631,996.54668339,973.67769543,1007.35456372,1024.04889672,1034.78248386,1022.83530684,1044.95134117,1051.18402971,1051.01991824,1022.27427407,1022.89956232,1048.4758233,1037.93655363,1026.12689626,992.52626738,1000.4203676,1004.53803286,1013.87273688,981.83170308,1014.26934552,1029.03469455,1018.74766362,1040.55616799,1055.59471456,1067.90021676,1063.26714137,1065.5426131,1083.43550773,1076.76700976,1103.03255807,1086.27218578,1107.8446488,1104.56541681,1100.09249368,1105.78033521,1107.93536493,1100.50694672,1088.94981609,1115.57480032,1131.67659494,1110.96142153,1116.45710511,1094.89432541,1104.42085961,1126.86585589,1134.04141533,1157.09185706,1170.2561086,1203.49179365,1212.37139539,1208.99925283,1226.99345499,1202.96329079,1204.70686078,1191.07761235,1215.77134105,1182.74611419,1182.63128584,1216.35562531,1231.07928667,1231.35391892,1227.06917758,1220.07134796,1192.18451101,1213.37625095,1191.38707289,1216.19653501,1233.70669457,1243.22654599,1252.67443542,1231.6409824,1254.58179849,1264.25099446,1265.56314653,1265.76273052,1283.56936402,1300.20848114,1288.31470976,1293.40310137,1316.74443363,1297.60682829,1296.07881682,1289.07170658,1318.37658428,1317.87933842,1277.26515676,1281.31978381,1296.72067305,1305.87329476,1264.46867222,1297.18236969,1283.97875746,1324.61593941,1320.27829748,1356.46158517,1354.64537853,1342.33191727,1348.38121431,1345.20040407,1361.79805136,1338.1554963,1351.14437916,1322.48010069,1301.85707402,1360.0889558,1329.19599299,1307.87563344,1336.94023944,1299.86787627,1299.93469395,1330.92654537
2,Community and Personal Service Workers,376.14094706,391.94126067,399.05338673,404.99562159,402.47125402,425.43568452,440.95667895,444.38112047,437.85830537,449.4448956,448.36163526,460.08947371,464.6973189,494.64955006,492.37218007,483.88124507,461.31226182,491.12690201,488.55572146,493.65824281,491.85580186,509.40670949,505.94180561,518.29487258,487.60824845,499.22160098,481.0146708,514.85840898,509.76465756,538.88278089,530.43265635,551.3038479,549.12055609,574.5037777,591.06482152,594.84010934,558.03049344,581.1119229,611.20754408,634.67038153,640.51945566,654.86839381,628.34251075,668.48259449,651.83564322,666.42543742,666.4331149,677.67754172,686.1825084,699.41317259,675.7131392,684.60730789,681.16502256,712.13940139,715.54204054,714.58281494,721.67120651,736.21334216,745.88708535,749.4552328,746.99681461,757.7902979,760.55315698,788.01371563,784.47719149,789.0568689,784.21087121,791.88474083,802.00069071,817.13612977,814.22461875,821.4875278,815.43395604,831.64237122,855.62353364,868.55584,821.17531533,869.69650406,857.53561309,876.28052084,902.43416153,929.64403148,891.30269207,889.03288183,897.83817688,941.39576172,918.25197345,955.87578529,962.42572164,1002.97816815,992.99699431,1023.04935662,976.8629742,978.61229792,1035.51286578,1063.33492421,1020.01952012,1050.70767478,1083.42958624,1078.62601772,1061.78959929,1091.13074104,1064.46598998,1099.37596441,1143.07646865,1139.25678079,1114.13098231,1148.25220443,1140.86623889,1167.91509082,1139.34171876,1147.55199844,1200.35209882,1183.84695569,1219.00769474,1244.18054621
2,Labourers,972.11477233,977.25409439,957.64296984,1001.46450826,1001.33392698,1008.96601842,986.99127574,1058.40847716,1046.49798676,1076.70933582,1055.7557898,1092.84350894,1063.69360065,1089.93301177,1044.55858564,1080.82229348,1042.11464169,1033.10062453,967.21848687,996.58689471,1014.26206898,998.04993236,968.30490826,1004.38098875,974.75133613,989.59060213,980.30473874,1002.74611237,1019.12322233,1031.50194011,996.1261174,1045.0075953,1089.80508211,1060.74494905,1053.78016643,1109.65001224,1063.87171221,1077.58812473,1035.29232166,1049.54984244,1031.03982431,1033.84197919,1041.25036839,1049.9991827,1020.56698889,1045.3658819,1051.81669364,1059.96830529,1051.49269995,1045.0419552,1055.45447639,1065.06995968,1076.1223654,1060.20615486,1071.92233031,1059.4592423,1061.14824738,1050.64661432,1022.60567325,1035.38245616,1063.08198641,1060.44550702,1089.35571515,1086.00055027,1083.98842711,1082.28898619,1072.23827429,1103.31201624,1073.60118092,1093.0421468,1101.39467097,1104.84455431,1119.50749813,1107.82160612,1076.23641367,1110.36865365,1094.41318778,1102.46788495,1148.40895421,1133.17842034,1162.41809059,1137.61053612,1140.45999826,1144.18589001,1160.99712794,1170.47165564,1140.81056904,1163.94165853,1151.61088411,1148.52697475,1145.9242206,1156.15816792,1162.37428823,1149.65384598,1096.51303083,1175.63098622,1182.80663686,1155.61738071,1134.17413935,1125.46831078,1127.30517469,1142.76530309,1150.77681858,1147.12182176,1149.5082894,1135.26036301,1100.92931472,1113.95799083,1136.20638168,1160.76226133,1100.23904052,1116.09759957,1129.10115234,1137.36374158,1090.96333132,1121.33148953
2,Machinery Operators and Drivers,585.87095393,589.29751787,585.19325952,609.63057099,596.00794233,607.27836852,603.11412262,607.82209443,609.10600033,611.49073881,624.46340502,624.26752124,609.69721109,601.55423322,597.39025505,587.36431081,586.69631945,583.06430373,571.87851306,567.95107242,557.36906117,552.34835248,562.02693446,544.28759857,554.35290846,557.21727643,548.74453303,579.7228109,579.62598887,577.48059183,588.63791868,585.50159499,590.83117356,599.24927992,612.54850326,612.80646866,590.36761985,587.51780531,631.06133254,640.1007725,627.77675053,614.149661,607.44954891,624.12436548,610.3677862,608.71806214,619.8059939,649.84124709,626.70899573,623.87635733,609.68439187,621.00462832,616.64031784,633.99036028,613.36465366,607.62510149,605.43377058,622.01010421,627.64675806,616.33931896,626.16607828,622.34246999,619.99822277,632.59661605,635.31066951,632.65696563,626.57417633,613.23985523,625.90767782,644.45433326,637.18897432,648.49109732,635.80573796,647.58541919,635.54155981,637.07460477,638.47986348,653.37719985,661.01149599,690.37759948,704.63270616,707.99339353,713.72006522,731.12680054,698.5034564,722.10273816,722.74711306,735.81508196,710.79587458,690.91747811,689.93363873,670.32570797,692.33162935,709.05065244,708.93920144,711.24877883,713.55797149,732.25868715,754.17449185,784.56370222,740.32727814,729.51346699,726.39363238,778.19471544,789.04979985,765.30745565,760.60648043,776.53123132,748.74485249,739.16314184,741.77257796,757.67444922,742.50038429,771.14019152,728.6705996,725.63870891
2,Managers,861.36182417,883.78271415,889.5517177,886.88890955,902.54780975,918.49463335,920.81471294,933.25107893,935.1892045,930.70000293,928.4878185,963.02153416,975.56412977,977.58729068,968.21682378,979.79150126,966.56727132,961.67744055,939.13283176,970.42127587,934.67276805,942.04121682,958.58508169,951.66864595,958.28078059,969.21096565,980.05984333,1000.24528886,971.90889194,980.77678591,999.9639596,1006.10737143,957.66326178,987.71536848,964.41623557,997.00826896,1015.04254216,997.49020617,976.14840818,967.33598383,973.21852704,977.31007175,960.79780939,978.48382598,950.74931677,979.46173502,979.19618165,989.60760407,992.52693174,990.87635363,1020.4550032,1040.19403845,1043.68673311,1012.35024781,1026.30678558,1056.06975199,1046.20787293,1090.02792562,1100.61084493,1168.27701503,1154.33963395,1133.10120902,1089.92930071,1099.96448421,1119.16930579,1135.76740171,1120.34995808,1152.30006055,1155.47695837,1146.28538641,1193.16676305,1230.13991722,1267.97242029,1235.00110774,1246.30782062,1246.44899,1298.27600572,1255.53272324,1272.44012315,1313.07074671,1311.98318349,1315.07238335,1350.54296438,1370.18896191,1349.92714835,1373.76719818,1400.14730055,1347.1339899,1374.68018031,1402.36256365,1401.73765325,1444.34269062,1440.18380808,1482.07899457,1448.04347487,1426.84778007,1401.51271198,1436.51769371,1448.9740536,1462.32856716,1448.96816415,1488.39663604,1429.14463036,1417.29910542,1422.3093114,1483.66481013,1445.6746088,1481.54838164,1483.22555021,1491.07084169,1545.79595117,1513.99891714,1552.78300419,1511.10183348,1534.20277948,1542.39083728
2,Professionals,1072.21703079,1103.99758652,1110.05451287,1097.74175396,1109.01825874,1134.56094723,1146.77397437,1149.72647763,1155.25249021,1211.70831137,1207.76402196,1218.68588191,1219.45516174,1247.54541872,1273.88108008,1248.78627813,1248.64276442,1278.83461074,1301.39925083,1263.61392066,1259.34381831,1297.88777275,1316.26646238,1296.30860198,1260.32315167,1266.69023041,1306.82680126,1298.15066228,1291.87285595,1312.05689974,1336.84330417,1340.67956756,1336.07335745,1403.47293955,1414.17326176,1451.86305068,1425.52189196,1442.82594377,1429.78564021,1475.42575172,1435.529111,1472.22530927,1503.37587053,1522.01118116,1511.13325484,1547.91121267,1548.33138562,1589.0216865,1598.38237005,1588.78793333,1581.9960866,1623.61927828,1621.56218058,1684.46555975,1696.89561571,1691.7498765,1711.10163534,1746.43922357,1748.43242279,1729.66493689,1737.84383332,1790.64211387,1820.85563566,1805.20129371,1827.29643588,1815.26871646,1825.61503055,1859.81061459,1872.94231582,1921.70000675,1880.81984781,1886.46631937,1865.22019448,1959.93609816,1985.05466856,1979.21379597,2027.53725466,2074.14370514,2034.64933761,2045.45135316,2046.4077064,2119.53891379,2129.56929327,2164.11350013,2221.29709228,2216.32449026,2248.95991004,2246.19572088,2236.30506313,2227.38267878,2293.52098163,2327.16742705,2381.49524681,2360.87437923,2398.00621321,2365.89168239,2436.56765688,2470.96327781,2411.17211048,2402.16102205,2471.66220196,2565.12796277,2515.70715964,2531.04578746,2503.78007618,2566.7000608,2532.28962083,2518.79862,2565.02823789,2575.72349642,2612.57872073,2620.9431017,2655.68521225,2717.42545765,2711.66411829,2751.01567784
2,Sales Workers,971.79870458,968.77828979,960.74831646,1000.76690532,984.22056611,973.27143016,970.39415721,988.3749729,1002.69248652,1023.93429156,1061.15995295,1081.02696449,1068.74001548,1085.0301,1059.6089134,1095.60287021,1054.74828271,1032.37084753,1053.90566804,1052.11349365,1059.32704327,1054.55364458,1024.10562545,1053.79660287,1035.93245274,1043.69418509,1010.80962096,1031.63190685,1038.9699775,1090.36332302,1071.78295869,1102.26744137,1124.23333345,1137.96743621,1110.75282199,1138.82654172,1153.09738585,1179.46197571,1163.27774546,1129.41682812,1134.24334116,1137.29250126,1116.85898735,1187.56825133,1185.05476485,1188.46720837,1166.39304262,1187.80827936,1195.37577305,1194.75593832,1180.36616102,1185.40847765,1179.77185695,1179.70066006,1205.96453972,1221.25364958,1220.44505349,1212.62314601,1180.86997161,1211.81215153,1187.72676687,1228.88076427,1244.1143924,1295.19636013,1289.37888629,1290.03139645,1266.48980294,1269.17404467,1269.86106655,1261.24455216,1237.79763018,1287.9220161,1314.85000502,1332.17582286,1333.0119975,1368.45491842,1325.27245617,1329.96172096,1330.96922526,1313.94400682,1306.76836566,1312.15989602,1307.11466285,1333.8691944,1329.6418926,1358.4131466,1342.61156868,1374.70022672,1356.41110361,1369.73624422,1359.12425099,1366.34203902,1341.49280724,1361.18007767,1399.64224277,1463.82233321,1432.4443908,1389.40645086,1399.60325749,1373.26052029,1362.22584089,1361.0873281,1374.87179715,1397.65443161,1389.64440813,1400.83080756,1405.55786699,1413.25271219,1407.17126107,1392.14005172,1417.87555406,1416.84000732,1399.18461975,1444.70056679,1413.97254282,1481.61683892
2,Technicians and Trades Workers,1252.34102274,1252.74256541,1260.79721471,1253.63012036,1272.49742856,1290.28006582,1310.56377435,1319.28812895,1355.84305325,1382.01944739,1366.44508289,1377.47059719,1349.95879489,1361.14415402,1349.68077484,1327.77466192,1300.22322907,1285.60516592,1272.48584309,1278.07059263,1279.9245239,1272.57439313,1264.29554669,1236.8774868,1245.44108507,1265.84723379,1262.89525967,1277.01469627,1271.73760977,1258.94624811,1274.63981842,1306.8433405,1318.71366001,1324.78083988,1316.15034898,1308.99547264,1332.82718372,1326.56403536,1318.99937094,1312.08995694,1341.12517564,1339.9915773,1303.28114126,1315.84052745,1351.61223424,1335.2290594,1306.79994694,1305.47587444,1301.38404313,1336.90255658,1345.91291553,1386.67192941,1365.19963524,1378.65560336,1369.22052967,1352.979783,1327.93419112,1343.70546762,1341.13577962,1353.63530136,1360.38348198,1358.72460517,1342.84843929,1363.4122591,1401.89918464,1403.65359253,1404.40376074,1417.946957,1442.47940398,1436.23451804,1406.10697506,1457.37473535,1492.11808964,1493.36610496,1485.885082,1503.24038241,1501.40150992,1532.62514198,1535.19533314,1563.57966928,1558.76976126,1589.77970821,1585.37315564,1609.17971783,1647.95731666,1610.22453762,1640.8338861,1644.61046637,1666.12339804,1627.01526794,1546.75439112,1560.52635656,1597.69306658,1610.10306631,1622.697232,1640.58638439,1675.28844989,1636.09396252,1575.40955229,1656.54872662,1670.81227527,1672.79962256,1654.37561292,1662.44135931,1666.14545346,1662.48899212,1651.07653409,1671.07880333,1681.46483789,1666.4849235,1685.96397536,1700.74399723,1707.58560593,1715.99430839,1704.2154947,1738.16567579
3,Clerical and Administrative Workers-Full time,681.31884493,687.3099105,682.83227724,673.0709528,720.95948893,719.19767778,704.49662114,727.27650848,747.1168787,751.23609286,733.92646947,751.59623196,759.0462666,745.34995069,730.06350549,739.39086181,751.30769862,734.3698779,725.22860323,693.03967433,708.1544249,699.29814293,692.03378744,688.41081095,718.05452943,712.23840465,702.50030821,711.9388501,727.81404064,746.90316961,736.529676,727.41221603,729.402431,723.98227813,757.20787539,735.04244911,753.25420308,743.68788954,739.90655121,739.7980347,741.64463933,721.46247555,715.78472488,751.2062276,747.27121668,715.86327176,721.63467323,712.66551277,733.08554823,733.05220045,741.34395908,747.87657815,760.76575348,786.51220769,793.2875518,806.93689066,813.25970524,771.65538583,752.15938796,750.87975603,771.67443916,723.39062832,745.11172785,754.42648228,769.00809486,754.21480692,772.68802982,768.48246966,760.79576654,765.12276651,755.10747938,772.74467028,795.06270441,783.27773135,772.60390223,756.54963217,777.46249192,772.73411375,806.0545641,817.85379446,830.35894484,816.95043159,806.11056124,809.22412792,851.98253028,828.11207665,824.90976387,809.66286667,837.66287623,817.44435026,787.33241906,788.34714312,804.58238708,806.50375904,788.49843737,821.31009667,808.36416275,821.81696405,811.79282597,829.76244185,856.98764121,856.73657596,844.20707477,847.90787715,855.80946057,830.58466823,841.14053559,841.61171773,815.09550867,868.36132334,808.6877101,807.1365964,821.48039084,793.64151395,790.89790421,833.34569322
