"Month","Sex","Employment_status","Main_occupation","Count"
"1",1986 Aug,"Females","Full time","Clerical and Administrative Workers",497.77670645
"2",1986 Aug,"Females","Full time","Community and Personal Service Workers",110.23305934
"3",1986 Aug,"Females","Full time","Labourers",148.74245431
"4",1986 Aug,"Females","Full time","Machinery Operators and Drivers",68.3195492
"5",1986 Aug,"Females","Full time","Managers",151.80370057
"6",1986 Aug,"Females","Full time","Professionals",317.67137419
"7",1986 Aug,"Females","Full time","Sales Workers",287.06375452
"8",1986 Aug,"Females","Full time","Technicians and Trades Workers",104.85918193
"9",1986 Aug,"Females","Part time","Clerical and Administrative Workers",236.02558602
"10",1986 Aug,"Females","Part time","Community and Personal Service Workers",122.91836713
"11",1986 Aug,"Females","Part time","Labourers",174.48223394
"12",1986 Aug,"Females","Part time","Machinery Operators and Drivers",25.08270321
"13",1986 Aug,"Females","Part time","Managers",82.8337542
"14",1986 Aug,"Females","Part time","Professionals",134.93052485
"15",1986 Aug,"Females","Part time","Sales Workers",218.54213673
"16",1986 Aug,"Females","Part time","Technicians and Trades Workers",34.68864854
"17",1986 Aug,"Males","Full time","Clerical and Administrative Workers",181.28033092
"18",1986 Aug,"Males","Full time","Community and Personal Service Workers",132.31667628
"19",1986 Aug,"Males","Full time","Labourers",523.97052739
"20",1986 Aug,"Males","Full time","Machinery Operators and Drivers",465.85492757
"21",1986 Aug,"Males","Full time","Managers",596.17028452
"22",1986 Aug,"Males","Full time","Professionals",548.37844493
"23",1986 Aug,"Males","Full time","Sales Workers",377.07462979
"24",1986 Aug,"Males","Full time","Technicians and Trades Workers",1097.20256254
"25",1986 Aug,"Males","Part time","Clerical and Administrative Workers",9.49190033
"26",1986 Aug,"Males","Part time","Community and Personal Service Workers",22.14792015
"27",1986 Aug,"Males","Part time","Labourers",83.62388516
"28",1986 Aug,"Males","Part time","Machinery Operators and Drivers",21.71210686
"29",1986 Aug,"Males","Part time","Managers",24.95776
"30",1986 Aug,"Males","Part time","Professionals",37.45726292
"31",1986 Aug,"Males","Part time","Sales Workers",46.37779626
"32",1986 Aug,"Males","Part time","Technicians and Trades Workers",34.53430177
"33",1986 Nov,"Females","Full time","Clerical and Administrative Workers",486.26877351
"34",1986 Nov,"Females","Full time","Community and Personal Service Workers",111.14437978
"35",1986 Nov,"Females","Full time","Labourers",162.78390413
"36",1986 Nov,"Females","Full time","Machinery Operators and Drivers",71.28663374
"37",1986 Nov,"Females","Full time","Managers",160.0272828
"38",1986 Nov,"Females","Full time","Professionals",334.14925934
"39",1986 Nov,"Females","Full time","Sales Workers",295.05138448
"40",1986 Nov,"Females","Full time","Technicians and Trades Workers",101.09174752
"41",1986 Nov,"Females","Part time","Clerical and Administrative Workers",247.69090886
"42",1986 Nov,"Females","Part time","Community and Personal Service Workers",120.89167839
"43",1986 Nov,"Females","Part time","Labourers",187.53905815
"44",1986 Nov,"Females","Part time","Machinery Operators and Drivers",23.63004584
"45",1986 Nov,"Females","Part time","Managers",79.05407154
"46",1986 Nov,"Females","Part time","Professionals",141.47208486
"47",1986 Nov,"Females","Part time","Sales Workers",245.02873934
"48",1986 Nov,"Females","Part time","Technicians and Trades Workers",38.6644042
"49",1986 Nov,"Males","Full time","Clerical and Administrative Workers",175.82713965
"50",1986 Nov,"Males","Full time","Community and Personal Service Workers",132.19264134
"51",1986 Nov,"Males","Full time","Labourers",539.25272532
"52",1986 Nov,"Males","Full time","Machinery Operators and Drivers",474.95920239
"53",1986 Nov,"Males","Full time","Managers",597.68384879
"54",1986 Nov,"Males","Full time","Professionals",566.63042473
"55",1986 Nov,"Males","Full time","Sales Workers",375.23978715
"56",1986 Nov,"Males","Full time","Technicians and Trades Workers",1087.02632151
"57",1986 Nov,"Males","Part time","Clerical and Administrative Workers",7.64574297
"58",1986 Nov,"Males","Part time","Community and Personal Service Workers",23.24623479
"59",1986 Nov,"Males","Part time","Labourers",87.77776462
"60",1986 Nov,"Males","Part time","Machinery Operators and Drivers",22.44596713
"61",1986 Nov,"Males","Part time","Managers",22.92536225
"62",1986 Nov,"Males","Part time","Professionals",38.60877574
"63",1986 Nov,"Males","Part time","Sales Workers",44.68412615
"64",1986 Nov,"Males","Part time","Technicians and Trades Workers",32.2435187
"65",1987 Feb,"Females","Full time","Clerical and Administrative Workers",496.13038083
"66",1987 Feb,"Females","Full time","Community and Personal Service Workers",107.34059756
"67",1987 Feb,"Females","Full time","Labourers",160.20092175
