"Level","Description","1","2","3","4","5","6","7","8"
1,"Aggregated",35150.3137724169,35698.9920184292,36247.6702644415,36796.3485104538,37345.0267564661,37893.7050024784,38442.3832484907,38991.061494503
2,"ACT",350.698775321098,358.728458466701,366.758141612304,374.787824757906,382.817507903509,390.847191049112,398.876874194715,406.906557340317
2,"NSW",10589.9981028193,10589.9981028193,10589.9981028193,10589.9981028193,10589.9981028193,10589.9981028193,10589.9981028193,10589.9981028193
2,"NT",1569.99469760977,1569.99469760977,1569.99469760977,1569.99469760977,1569.99469760977,1569.99469760977,1569.99469760977,1569.99469760977
2,"QLD",7328.49611077101,7475.98751664524,7623.47892251947,7770.9703283937,7918.46173426793,8065.95314014216,8213.4445460164,8360.93595189063
2,"SA",2739.00194147872,2822.68608318497,2906.37022489122,2990.05436659747,3073.73850830372,3157.42265000997,3241.10679171622,3324.79093342247
2,"TAS",456.600342166801,456.600342166801,456.600342166801,456.600342166801,456.600342166801,456.600342166801,456.600342166801,456.600342166801
2,"VIC",6610.68111398214,6801.61687371529,6992.55263344844,7183.48839318159,7374.42415291474,7565.35991264789,7756.29567238104,7947.23143211419
2,"WA",5361.98929903085,5361.98929903085,5361.98929903085,5361.98929903085,5361.98929903085,5361.98929903085,5361.98929903085,5361.98929903085
3,"ACT-Female",16.6077309784627,16.6077309784627,16.6077309784627,16.6077309784627,16.6077309784627,16.6077309784627,16.6077309784627,16.6077309784627
3,"ACT-Male",335.930126224194,343.838933077622,351.74773993105,359.656546784478,367.565353637906,375.474160491335,383.382967344763,391.291774198191
3,"NSW-Female",720.000301428312,720.000301428312,720.000301428312,720.000301428312,720.000301428312,720.000301428312,720.000301428312,720.000301428312
3,"NSW-Male",9869.99780040312,9869.99780040312,9869.99780040312,9869.99780040312,9869.99780040312,9869.99780040312,9869.99780040312,9869.99780040312
3,"NT-Female",117.900825579396,116.734222410197,115.567619240999,114.4010160718,113.234412902602,112.067809733403,110.901206564205,109.734603395006
3,"NT-Male",1453.99514621541,1453.99514621541,1453.99514621541,1453.99514621541,1453.99514621541,1453.99514621541,1453.99514621541,1453.99514621541
3,"QLD-Female",682.997785341012,682.997785341012,682.997785341012,682.997785341012,682.997785341012,682.997785341012,682.997785341012,682.997785341012
3,"QLD-Male",6625.95244439167,6753.90121156562,6881.84997873956,7009.79874591351,7137.74751308746,7265.6962802614,7393.64504743535,7521.59381460929
3,"SA-Female",183.476218138259,191.013466015486,198.550713892713,206.08796176994,213.625209647167,221.162457524394,228.699705401621,236.236953278849
3,"SA-Male",2555.09861893311,2633.54218648171,2711.98575403031,2790.42932157891,2868.87288912751,2947.31645667611,3025.76002422471,3104.20359177331
3,"TAS-Female",27.9199993425934,27.9199993425934,27.9199993425934,27.9199993425934,27.9199993425934,27.9199993425934,27.9199993425934,27.9199993425934
3,"TAS-Male",431.342936135692,431.342936135692,431.342936135692,431.342936135692,431.342936135692,431.342936135692,431.342936135692,431.342936135692
3,"VIC-Female",441.996999378504,441.996999378504,441.996999378504,441.996999378504,441.996999378504,441.996999378504,441.996999378504,441.996999378504
3,"VIC-Male",6158.75008857996,6336.58125857589,6514.41242857183,6692.24359856777,6870.07476856371,7047.90593855965,7225.73710855559,7403.56827855153
3,"WA-Female",541.098873547667,565.199951668005,589.301029788342,613.40210790868,637.503186029018,661.604264149355,685.705342269693,709.80642039003
3,"WA-Male",4844.99239688357,4844.99239688357,4844.99239688357,4844.99239688357,4844.99239688357,4844.99239688357,4844.99239688357,4844.99239688357
4,"ACT-Female-Remanded",5.00801941977662,5.00801941977662,5.00801941977662,5.00801941977662,5.00801941977662,5.00801941977662,5.00801941977662,5.00801941977662
