"Level","Description","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
1,"Aggregated",25913.1909582052,26474.4472948337,26627.067226003,26651.9228635512,26525.9442666845,26897.8794290336,26787.0083697787,27366.9706485927,27413.4638680272,28106.8341924195,28483.0966505196,28859.5297401871,28890.7545655862,29488.8902754538,29463.7188651338,29076.8318614408,28568.8367125085,28918.1322230558,28978.6958449088,29147.4731113487,29097.5566110038,29778.5580207615,29574.6111447901,29479.4024022611
2,"ACT",171.442737030814,171.999944229648,160.001200943095,165.999399645851,174.99909922841,185.998899040232,178.000800522268,160.00180150313,172.99869915256,160.001300897545,169.998999339629,162.000800532306,175.998598973328,193.998198436772,215.997798080461,214.000199937747,217.999599703784,232.998498774093,237.999499454477,239.999799791793,235.000500375245,264.996997678386,274.998998908967,273.000200057924
2,"NSW",9496.64372313171,9497.99986421804,9630.98668485794,9594.00370287564,9560.00340423814,9601.9957955634,9758.98428172066,9939.98187783801,9931.00089920945,10090.9839818904,10385.9704648407,10398.9986955644,10348.0051056706,10282.0066080185,10426.9854841681,10236.0191202726,10100.0136173839,10006.0094120556,10116.9888883163,9964.015316291,9807.01571939179,9718.00891169729,9721.99960043719,9639.00830940107
2,"NT",811.138110500126,852.988713872992,913.979128070933,898.867712133232,882.368416535799,921.850086873073,936.829590781335,969.38717454536,998.610057490645,1097.92884145482,1114.32396344141,1085.05313403516,1098.42082066252,1124.69110482012,1142.7130651004,1135.83450918464,1164.72369178445,1198.81732112861,1262.11789582058,1289.34231991374,1310.54769672626,1384.29602621225,1439.20660270246,1444.41994547435
2,"QLD",5574.74819566556,5579.57315355994,5592.09073247219,5582.61017724431,5565.63545638601,5547.93848919264,5547.70612374002,5549.41952149305,5554.28387734907,5552.93128622937,5574.15639905307,5578.57281779965,5572.99016408706,5575.62846896055,5594.49249316009,5595.27254381916,5590.32523053932,5570.8674095671,5570.76343374023,5575.46669569964,5592.31233249082,5596.35045152621,5602.1820416089,5605.99603981496
2,"SA",1715.85317133917,1761.45124435219,1825.21586826905,1869.81229334734,1896.42135034535,1925.66514443797,1949.98008856874,1985.76840490448,1979.3868136127,1956.47365038555,1963.79015792469,1982.9728982918,1979.95415900644,1946.54182667294,1953.08897163327,1970.00492087571,1978.35149113237,1999.36057700351,2017.93326597042,2050.22377111149,2073.74872126095,2119.00261694716,2162.18811654892,2146.07318331668
2,"TAS",508.829968435896,525.366173552747,534.805807874029,541.075097043901,532.749851153996,537.368282434555,540.805759037235,528.080569888648,493.748176018782,529.366142353843,530.803761319173,525.082255293779,472.752113731748,471.368027750805,482.801417736476,500.07923920588,456.750774370118,472.369099119404,481.801941510705,534.073241983099,493.751039819958,526.367993466328,516.808655822701,501.075403245678
2,"VIC",4033.5592149989,4112.15434817101,4184.76251931117,4248.70178588301,4145.90688486871,4205.17674451854,4244.79615368927,4361.62826245186,4264.89340746891,4307.19552713367,4379.75783558083,4467.6586684979,4409.8363368131,4571.05401731344,4629.78734910072,4643.76301830297,4511.93384093978,4608.12218416168,4709.71802858124,4841.61324350048,4751.89095805923,4887.08645294822,4963.76425635609,5004.73139446993
2,"WA",3637.42625078647,3721.76215343019,3860.99448771098,3964.00365447027,3942.0126113628,3605.03178652523,3695.95692052536,3931.98532828952,4067.01013896276,4011.019255369,4372.95788968736,4883.98490979873,5012.03856164182,4881.0261614738,4849.98998371549,4628.01926732828,4410.99954137955,4621.95686546806,4731.01021067814,4600.02418916589,4817.96485122938,4951.00851700038,5072.00120817628,4925.02701837085
3,"ACT-Female",13.1263293703148,13.1259160031963,13.125402499562,13.1251895811476,13.125076861989,13.1256653996046,13.1258531665576,13.1257403809223,13.1258279624378,13.1258153572534,13.1263036429621,13.1263911680511,13.1263785064461,13.1263658461094,13.1269542545973,13.1270417145094,13.1269288098078,13.127116450195,13.1272038938587,13.1271911508364,13.1265773415345,13.1262641275008,13.1260511227703,13.1261386731563
