,loss_run_1
0,147847.8125
1,142516.65625
2,139944.3125
3,142900.40625
4,134994.109375
5,130890.046875
6,127184.140625
7,128757.8359375
8,121070.984375
9,121171.921875
10,106482.484375
11,106982.796875
12,110663.4765625
13,113794.6640625
14,106545.734375
15,114675.0
16,98061.0
17,93992.265625
18,96929.828125
19,98359.0234375
20,87082.0546875
21,105450.25
22,95675.4765625
23,89976.53125
24,85256.3828125
25,102277.984375
26,101854.171875
27,88507.4375
28,87907.203125
29,89105.2578125
30,99799.0625
31,87787.609375
32,99429.296875
33,81897.625
34,81145.3984375
35,94170.25
36,82928.078125
37,93105.296875
38,93204.828125
39,86606.6484375
40,93110.5703125
41,85799.09375
42,86442.5078125
43,95869.140625
44,82676.65625
45,71992.796875
46,83870.703125
47,94357.484375
48,89122.0546875
49,99490.5
50,90934.6484375
51,83491.1640625
52,91443.6015625
53,81404.140625
54,85391.6171875
55,67908.6875
56,70742.2109375
57,78822.265625
58,83714.6484375
59,84305.3046875
60,84631.875
61,86225.125
62,82137.796875
63,99946.921875
64,87262.859375
65,73121.734375
66,71239.5234375
67,76035.546875
68,77490.359375
69,66070.1328125
70,89313.6640625
71,99061.921875
72,85654.359375
73,72026.7578125
74,85431.7265625
75,83416.5625
76,74256.6875
