,ts_name,forecast_type,error_metric,error,level
0,Aggregated,original,MASE,1.4467693051353452,1
1,Aggregated,adjusted,MASE,4.715379225016499,1
2,Aggregated,original,SMAPE,1.3265596840952534,1
3,Aggregated,adjusted,SMAPE,4.432725276270833,1
4,ACT,original,MASE,2.7843551797021084,2
5,ACT,adjusted,MASE,3.149917658562369,2
6,ACT,original,SMAPE,8.685945070324912,2
7,ACT,adjusted,SMAPE,9.901431146405205,2
8,NSW,original,MASE,11.508842843070353,2
9,NSW,adjusted,MASE,11.527669063975955,2
10,NSW,original,SMAPE,11.859395531538349,2
11,NSW,adjusted,SMAPE,11.878312132945988,2
12,NT,original,MASE,1.287758652537311,2
13,NT,adjusted,MASE,1.3794539805825239,2
14,NT,original,SMAPE,3.0905558682842447,2
15,NT,adjusted,SMAPE,3.299256156062833,2
16,QLD,original,MASE,2.80540210414922,2
17,QLD,adjusted,MASE,2.9061524805950847,2
18,QLD,original,SMAPE,3.624717420757283,2
19,QLD,adjusted,SMAPE,3.8225176437974357,2
20,SA,original,MASE,4.043218175881978,2
21,SA,adjusted,MASE,1.428964822447684,2
22,SA,original,SMAPE,5.519823108576334,2
23,SA,adjusted,SMAPE,2.0351984018376643,2
24,TAS,original,MASE,4.060797115238011,2
25,TAS,adjusted,MASE,3.030733241883117,2
26,TAS,original,SMAPE,15.97289875662294,2
27,TAS,adjusted,SMAPE,11.599404071502416,2
28,VIC,original,MASE,7.215280197111867,2
29,VIC,adjusted,MASE,3.0616459288850946,2
30,VIC,original,SMAPE,11.026502599516188,2
31,VIC,adjusted,SMAPE,4.897346403647572,2
32,WA,original,MASE,2.514547095185798,2
33,WA,adjusted,MASE,3.3636144247658075,2
34,WA,original,SMAPE,3.695410581681636,2
35,WA,adjusted,SMAPE,5.007402848189332,2
36,ACT-Female,original,MASE,2.271015388017976,3
37,ACT-Female,adjusted,MASE,1.2356222383177569,3
38,ACT-Female,original,SMAPE,29.63327159144792,3
39,ACT-Female,adjusted,SMAPE,15.055117703312899,3
40,ACT-Male,original,MASE,2.7890625,3
41,ACT-Male,adjusted,MASE,3.5957425781250008,3
42,ACT-Male,original,SMAPE,8.139605954639457,3
43,ACT-Male,adjusted,SMAPE,10.623401580470905,3
44,NSW-Female,original,MASE,11.448515156823353,3
45,NSW-Female,adjusted,MASE,8.920666704027354,3
46,NSW-Female,original,SMAPE,23.695451764209327,3
47,NSW-Female,adjusted,SMAPE,17.923788790578676,3
48,NSW-Male,original,MASE,11.253045689859858,3
49,NSW-Male,adjusted,MASE,11.419792263610315,3
50,NSW-Male,original,SMAPE,11.228924805960643,3
51,NSW-Male,adjusted,SMAPE,11.405050637536068,3
52,NT-Female,original,MASE,3.996099681962215,3
53,NT-Female,adjusted,MASE,3.9057151343930623,3
54,NT-Female,original,SMAPE,13.234077214377443,3
55,NT-Female,adjusted,SMAPE,12.848742353770898,3
56,NT-Male,original,MASE,1.434609971874405,3
57,NT-Male,adjusted,MASE,1.3859695409215953,3
58,NT-Male,original,SMAPE,3.5269605014894734,3
59,NT-Male,adjusted,SMAPE,3.397667161348439,3
60,QLD-Female,original,MASE,2.16764275256222,3
61,QLD-Female,adjusted,MASE,2.564896169472913,3
62,QLD-Female,original,SMAPE,5.433052209487076,3
63,QLD-Female,adjusted,SMAPE,6.406143916570023,3
64,QLD-Male,original,MASE,4.181377159605991,3
65,QLD-Male,adjusted,MASE,3.684911368110236,3
66,QLD-Male,original,SMAPE,5.0203122221768846,3
67,QLD-Male,adjusted,SMAPE,4.576475050617158,3
68,SA-Female,original,MASE,3.4379021357688293,3
69,SA-Female,adjusted,MASE,4.386560670731706,3
70,SA-Female,original,SMAPE,8.321952316185987,3
71,SA-Female,adjusted,SMAPE,10.49370015147788,3
72,SA-Male,original,MASE,3.4604764954228147,3
73,SA-Male,adjusted,MASE,1.2276679956169925,3
74,SA-Male,original,SMAPE,4.730312153797193,3
75,SA-Male,adjusted,SMAPE,1.7506121229015272,3
76,TAS-Female,original,MASE,2.341139258168398,3
77,TAS-Female,adjusted,MASE,2.2021596961077843,3
78,TAS-Female,original,SMAPE,24.43951955616456,3
79,TAS-Female,adjusted,SMAPE,23.15744957935123,3
80,TAS-Male,original,MASE,3.524156396770488,3
81,TAS-Male,adjusted,MASE,2.8721120519835837,3
82,TAS-Male,original,SMAPE,14.196820426529532,3
83,TAS-Male,adjusted,SMAPE,11.38411788610855,3
84,VIC-Female,original,MASE,3.9580731547674444,3
85,VIC-Female,adjusted,MASE,3.1740317424242424,3
86,VIC-Female,original,SMAPE,8.842563575768821,3
87,VIC-Female,adjusted,SMAPE,7.167572263798775,3
88,VIC-Male,original,MASE,6.0023725338309895,3
89,VIC-Male,adjusted,MASE,2.9969381106416706,3
90,VIC-Male,original,SMAPE,9.209646859604769,3
91,VIC-Male,adjusted,SMAPE,4.756070158418155,3
92,WA-Female,original,MASE,2.104323678273921,3
93,WA-Female,adjusted,MASE,2.4093937245762724,3
94,WA-Female,original,SMAPE,5.606970729273611,3
95,WA-Female,adjusted,SMAPE,6.476853466880954,3
96,WA-Male,original,MASE,2.920216321815703,3
97,WA-Male,adjusted,MASE,3.7249097802473266,3
98,WA-Male,original,SMAPE,4.187638495091604,3
99,WA-Male,adjusted,SMAPE,5.3955413772030925,3
100,ACT-Female-Remanded,original,MASE,2.649683008051656,4
101,ACT-Female-Remanded,adjusted,MASE,1.1548242375000002,4
102,ACT-Female-Remanded,original,SMAPE,53.914415214046855,4
103,ACT-Female-Remanded,adjusted,SMAPE,20.573981028124926,4
104,ACT-Female-Sentenced,original,MASE,1.4626576833105627,4
105,ACT-Female-Sentenced,adjusted,MASE,1.2271666308139535,4
106,ACT-Female-Sentenced,original,SMAPE,26.29787770157435,4
107,ACT-Female-Sentenced,adjusted,SMAPE,20.61842310224281,4
108,ACT-Male-Remanded,original,MASE,4.093003412969283,4
109,ACT-Male-Remanded,adjusted,MASE,4.152901789249147,4
110,ACT-Male-Remanded,original,SMAPE,28.875703236904315,4
111,ACT-Male-Remanded,adjusted,SMAPE,29.374787132242908,4
112,ACT-Male-Sentenced,original,MASE,1.1458837772396973,4
113,ACT-Male-Sentenced,adjusted,MASE,1.5525233081113805,4
114,ACT-Male-Sentenced,original,SMAPE,4.993309760844422,4
115,ACT-Male-Sentenced,adjusted,SMAPE,6.67909260386832,4
116,NSW-Female-Remanded,original,MASE,13.678908355795148,4
117,NSW-Female-Remanded,adjusted,MASE,11.866615936657682,4
118,NSW-Female-Remanded,original,SMAPE,43.78228213948043,4
119,NSW-Female-Remanded,adjusted,SMAPE,36.68124508347116,4
120,NSW-Female-Sentenced,original,MASE,3.3823790317599993,4
121,NSW-Female-Sentenced,adjusted,MASE,2.9333162718914183,4
122,NSW-Female-Sentenced,original,SMAPE,9.320211037536652,4
123,NSW-Female-Sentenced,adjusted,SMAPE,8.022221339997987,4
124,NSW-Male-Remanded,original,MASE,8.240404706725226,4
125,NSW-Male-Remanded,adjusted,MASE,9.855414013346044,4
126,NSW-Male-Remanded,original,SMAPE,20.314167999256412,4
127,NSW-Male-Remanded,adjusted,SMAPE,24.703908259121487,4
128,NSW-Male-Sentenced,original,MASE,4.265325194600537,4
129,NSW-Male-Sentenced,adjusted,MASE,5.629267768292682,4
130,NSW-Male-Sentenced,original,SMAPE,4.427037768643391,4
131,NSW-Male-Sentenced,adjusted,SMAPE,5.893710673584038,4
132,NT-Female-Remanded,original,MASE,1.6320305721785815,4
133,NT-Female-Remanded,adjusted,MASE,1.6209118403716214,4
134,NT-Female-Remanded,original,SMAPE,13.56064820106221,4
135,NT-Female-Remanded,adjusted,SMAPE,13.395868505360864,4
136,NT-Female-Sentenced,original,MASE,4.929875960000796,4
137,NT-Female-Sentenced,adjusted,MASE,4.396057864864864,4
138,NT-Female-Sentenced,original,SMAPE,15.927901711558906,4
139,NT-Female-Sentenced,adjusted,SMAPE,13.990376912860983,4
140,NT-Male-Remanded,original,MASE,1.7459532374094364,4
141,NT-Male-Remanded,adjusted,MASE,1.7331773606115108,4
142,NT-Male-Remanded,original,SMAPE,8.489884645341322,4
143,NT-Male-Remanded,adjusted,SMAPE,8.433031504215037,4
144,NT-Male-Sentenced,original,MASE,0.8429082491603558,4
